Magical Properties of Numbers I,110,ARTM,no,NULL
Magical Properties of Numbers II,111,ARTM,no,NULL
Mathematical Symmetries in Magic,121,ARTM,no,NULL
Symbolism and Logic,131,ARTM,no,NULL
Night Skies,210,ASTR,no,NULL
Mysteries of the Universe I,211,ASTR,no,NULL
Mysteries of the Universe II,221,ASTR,no,NULL
Life Beyond Planets,230,ASTR,no,NULL
Charms I,310,CHRM,no,NULL
Charms II,311,CHRM,no,NULL
Charms III,312,CHRM,no,NULL
Underwater Magical Creatures,410,CMAC,no,NULL
Creatures of the Land and Soil,420,CMAC,no,NULL
Care of Endangered Species,430,CMAC,no,NULL
Alchemy I,511,ALCY,no,NULL
Alchemy II,512,ALCY,no,NULL
Alchemy in the Muggle World,521,ALCY,no,NULL
Eternal Life,531,ALCY,no,NULL
Defence against Spells,611,DADA,no,NULL
Defence against Incantations,621,DADA,no,NULL
Defence against Creatures,631,DADA,no,NULL
Foresight and Intuitive Sense,711,DIVI,no,NULL
Reading the Stars I,721,DIVI,no,NULL
Reading the Stars II,722,DIVI,no,NULL
Natural Healing Studies,811,HEAL,no,NULL
Group Healing Studies,821,HEAL,no,NULL
Advanced Healing Studies,831,HEAL,no,NULL
Molecular Herbology,911,HERB,no,912
Molecular Herbology Lab,912,HERB,yes,NULL
Inheriting the Earth,921,HERB,no,NULL
Herbs in Medicine,931,HERB,no,NULL
History of Magic I,101,HIST,no,NULL
History of Magic II,102,HIST,no,NULL
Magic in Everyday Life I,140,MYOM,no,NULL
Magic in Everyday Life II,141,MYOM,no,NULL
Magic in Everyday Life III,142,MYOM,no,NULL
Brewing and Barreling,240,POTS,no,NULL
Remedial Potions,241,POTS,no,NULL
Quidditch through the Ages,340,QDTC,no,NULL
Quidditch as a Unifying Force,342,QDTC,no,NULL
Quidditich for Muggles,343,QDTC,no,NULL
Transfiguration I,440,TRFG,no,NULL
Transfiguration II,441,TRFG,no,NULL
Transfiguration III,442,TRFG,no,NULL
